
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      65752, Nsync-hyd:      65752
Sync-Point 56, Time: 0.509766, Systemstep: 0.00585938, Nsync-grv:          0, Nsync-hyd:       2594

Sync-Point 57, Time: 0.515625, Systemstep: 0.00585938, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 58, Time: 0.521484, Systemstep: 0.00585938, Nsync-grv:          0, Nsync-hyd:       3068

Sync-Point 59, Time: 0.527344, Systemstep: 0.00585938, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 60, Time: 0.533203, Systemstep: 0.00585938, Nsync-grv:          0, Nsync-hyd:       3549

Sync-Point 61, Time: 0.539062, Systemstep: 0.00585938, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 62, Time: 0.544922, Systemstep: 0.00585938, Nsync-grv:          0, Nsync-hyd:       4067

Sync-Point 63, Time: 0.550781, Systemstep: 0.00585938, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 64, Time: 0.556641, Systemstep: 0.00585938, Nsync-grv:          0, Nsync-hyd:       4591

Sync-Point 65, Time: 0.5625, Systemstep: 0.00585938, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 66, Time: 0.56543, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:          2

Sync-Point 67, Time: 0.568359, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       5163

Sync-Point 68, Time: 0.571289, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:         11

Sync-Point 69, Time: 0.574219, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 70, Time: 0.577148, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:         28

Sync-Point 71, Time: 0.580078, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       5748

Sync-Point 72, Time: 0.583008, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:         92

Sync-Point 73, Time: 0.585938, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 74, Time: 0.588867, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:        185

